"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
50,55,57,38,73,41,75,87,30,54,26,14,60,30,12,28,12,14,12,38,40,21,54,18,14,16,8,12,24,90,83,72,90,87,"17","17","25","53","58","35","85","2025-09-02","2030-06-01",0,27,"Italy","Gianluigi","Donnarumma","Donnarumma","Gianluigi Donnarumma",13217,9675,9675,230621,1435,89,91,"1999-02-25T00:00:00.000Z",26,10,"Manchester City",13,10,8,"manchester-city",25,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p230621.png",3,3,4,529,333,"Right",1,3,4,2,,196,90,"Male",,,"Yes","No",114000000,97000000,83000000,190000,160000,140000,"","GK Footwork, Career One Club Player","53","22","29","49","18","55","GK","-",false,false,false,"gianluigi-donnarumma",86,32,31,31,35,36,38,38,36,34,33
93,89,94,81,84,76,69,91,58,88,45,95,84,94,80,94,90,68,74,78,89,49,91,85,49,39,79,85,80,6,6,14,13,10,"83","46","84","81","90","75","10","2023-08-12","2028-06-01",0,18,"France","Ousmane","Dembélé","O.Dembélé","Ousmane Dembélé",28441,8951,27701,231443,2320,90,90,"1997-05-15T00:00:00.000Z",28,73,"Paris Saint-Germain",16,10,10,"paris-saint-germain",10,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231443.png",0,9,10,1001,261,"Left",5,5,5,1,,178,67,"Male",,,"Yes","No",144500000,122500000,105500000,260000,220000,185000,"Low Driven Shot, Pinged Pass, Inventive, Trickster, Quick Step","","91","87","81","90","51","72","ST","RW | CAM",false,false,false,"ousmane-dembele",18,70,67,60,68,88,83,90,90,90,88
65,65,65,67,83,86,83,89,85,92,84,76,84,89,76,81,74,64,80,90,92,88,90,87,87,82,71,86,62,10,10,7,8,14,"79","86","82","86","71","81","10","2019-07-04","2027-06-01",0,45,"Spain","Rodrigo","Hernández Cascante","Rodrigo","Rodri",31534,15177,31534,231866,2372,89,89,"1996-06-22T00:00:00.000Z",29,10,"Manchester City",13,10,8,"manchester-city",16,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231866.png",0,3,4,1526,5,"Right",3,4,5,2,188700000,190,82,"Male",,,"Yes","No",104000000,88000000,75500000,310000,260000,230000,"Power Shot, Long Ball Pass, Aerial Fortress, Press Proven, Bruiser","Career Injury Prone","65","77","82","81","84","84","CDM","CM",false,false,false,"rodrigo-hernandez-cascante",18,83,82,84,87,81,86,83,81,79,80
61,67,51,37,88,71,89,89,89,79,89,52,63,71,42,64,37,31,91,76,79,90,62,39,88,90,33,57,51,12,8,13,7,10,"57","90","60","70","61","71","10","2020-09-01","2029-06-01",0,54,"Brazil","Gabriel","dos S. Magalhães","Gabriel","Gabriel",12603,40651,12603,232580,1976,89,90,"1997-12-19T00:00:00.000Z",27,1,"Arsenal",13,10,9,"arsenal",6,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p232580.png",0,9,8,1007,5,"Left",2,2,4,1,,190,87,"Male",,,"Yes","No",122500000,104000000,89500000,300000,250000,220000,"Precision Header","","64","46","58","65","90","84","CB","-",false,false,false,"gabriel-dos-s-magalhaes",18,75,78,87,82,64,71,64,63,60,63
71,73,63,65,84,94,79,89,85,86,86,77,83,85,89,82,64,75,79,86,87,81,87,83,86,85,50,87,71,8,11,14,9,5,"74","84","83","86","73","82","10","2023-07-15","2028-06-01",0,14,"England","Declan","Rice","Rice","Declan Rice",8835,31255,31255,234378,2359,88,89,"1999-01-14T00:00:00.000Z",26,1,"Arsenal",13,10,9,"arsenal",41,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p234378.png",3,2,3,3513,5,"Right",3,3,4,2,,188,80,"Male",,,"Yes","No",113000000,96000000,82500000,270000,230000,200000,"Dead Ball, Whipped Pass, Block, Intercept, Aerial Fortress, Press Proven","Career One Club Player","72","72","85","78","83","86","CDM","CM",false,false,false,"declan-rice",17,85,84,83,85,82,84,81,80,79,77
89,95,81,78,84,95,72,90,77,84,85,84,78,85,85,82,80,80,71,73,86,82,82,77,85,79,74,78,68,10,8,14,8,6,"80","82","80","82","87","80","10","2021-07-06","2029-06-01",0,129,"Morocco","Achraf","Hakimi","Hakimi","Achraf Hakimi",438,14481,14481,235212,2405,89,90,"1998-11-04T00:00:00.000Z",26,73,"Paris Saint-Germain",16,10,10,"paris-saint-germain",2,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p235212.png",0,9,4,1009,1,"Right",4,4,4,3,,181,73,"Male",,,"Yes","No",131000000,111000000,95500000,200000,170000,145000,"Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step","Career One Club Player","92","78","80","83","80","82","RB","RM",false,false,false,"achraf-hakimi",17,86,85,81,83,84,83,83,83,84,82
86,92,77,72,83,93,82,89,80,84,84,84,86,88,77,83,79,72,63,88,88,81,94,91,87,85,78,76,59,6,10,6,8,15,"77","85","82","89","84","80","9","2016-07-22","2029-06-01",0,60,"Uruguay","Federico","Valverde","Valverde","Federico Valverde",11668,37519,37519,239053,2426,88,89,"1998-07-22T00:00:00.000Z",26,243,"Real Madrid",53,10,7,"real-madrid",8,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p239053.png",3,3,3,13,397,"Right",3,4,4,1,,182,78,"Male",,,"Yes","No",126000000,107000000,92000000,370000,310000,270000,"Long Ball Pass, Intercept, Slide Tackle, Aerial Fortress, Rapid, Relentless","Career Injury Prone","89","81","81","82","80","85","CM","RB | CDM",false,false,false,"federico-valverde",18,85,85,82,86,85,87,86,85,84,83
82,92,71,69,93,78,93,94,88,86,43,95,75,83,58,79,96,62,85,66,78,42,94,83,47,29,90,77,90,7,14,13,7,11,"82","40","74","89","82","80","11","2022-07-01","2034-06-01",0,36,"Norway","Erling","Haaland","Haaland","Erling Haaland",10973,14348,14348,239085,2270,91,93,"2000-07-21T00:00:00.000Z",24,10,"Manchester City",13,10,8,"manchester-city",9,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p239085.png",15,5,2,20,277,"Left",3,3,5,1,,195,94,"Male",,,"Yes","No",203500000,172500000,148500000,490000,420000,360000,"Chip Shot, Power Shot, Precision Header, Acrobatic, Gamechanger, Enforcer","","87","91","69","80","49","88","ST","-",false,false,false,"erling-haaland",19,63,61,62,65,80,76,82,86,82,89
76,78,53,46,90,72,88,87,83,82,88,54,62,79,58,74,35,35,83,77,80,89,60,23,90,88,34,55,47,7,10,6,11,8,"58","89","64","67","68","70","9","2019-07-25","2030-06-01",0,18,"France","William","Saliba","Saliba","William Saliba",38818,32439,32439,243715,2008,88,90,"2001-03-24T00:00:00.000Z",24,1,"Arsenal",13,10,9,"arsenal",2,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p243715.png",0,3,7,529,5,"Right",2,3,4,1,,192,92,"Male",,,"Yes","No",124500000,105500000,90500000,230000,200000,170000,"Long Ball Pass, Jockey","","77","42","61","70","88","83","CB","-",false,false,false,"william-saliba",17,79,81,86,82,70,72,67,66,66,64
83,74,90,85,64,85,62,87,66,87,55,86,88,89,84,90,85,81,36,81,87,44,78,80,58,49,71,85,72,9,11,9,10,10,"73","51","86","74","84","76","10","2024-07-07","2029-06-01",0,18,"France","Michael","Olise","Olise","Michael Olise",24969,28001,28001,247827,2231,88,90,"2001-12-12T00:00:00.000Z",23,21,"Bayern München",19,10,3,"bayern-munchen",17,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p247827.png",0,9,8,1005,1,"Left",5,2,4,2,,180,78,"Male",,,"Yes","No",140000000,118500000,102000000,130000,110000,95000,"Finesse Shot, Incisive Pass, Tiki Taka, Whipped Pass, Inventive, First Touch","","79","79","84","88","48","69","RM","RW | CAM",false,false,false,"michael-olise",18,72,67,58,70,85,83,86,84,86,78
79,76,89,92,72,90,73,87,72,92,86,83,91,91,76,90,77,62,50,88,92,74,76,79,85,79,56,83,53,12,7,11,8,8,"71","80","83","78","85","80","10","2020-08-04","2030-06-01",0,45,"Spain","Pedro","González López","Pedri","Pedri",29148,13547,29145,251854,2339,90,93,"2002-11-25T00:00:00.000Z",22,241,"FC Barcelona",53,10,2,"fc-barcelona",8,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p251854.png",0,3,2,1509,1,"Right",4,4,4,1,317700000,174,60,"Male",,,"Yes","No",195000000,165000000,142000000,210000,180000,155000,"Incisive Pass, Long Ball Pass, Tiki Taka, Inventive, Technical, Relentless","","78","71","82","90","75","77","CM","CDM | CAM",false,false,false,"pedro-gonzalez-lopez",17,83,81,77,85,85,88,87,84,84,78
94,95,87,84,87,85,73,85,75,83,82,82,72,85,83,86,74,75,74,75,82,80,85,73,87,83,56,78,85,7,8,8,15,12,"74","84","80","81","89","80","10","2021-08-31","2029-06-01",0,38,"Portugal","Nuno Alexandre","Tavares Mendes","N.Mendes","Nuno Mendes",27507,35871,26378,252145,2395,88,91,"2002-06-19T00:00:00.000Z",23,73,"Paris Saint-Germain",16,10,10,"paris-saint-germain",25,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p252145.png",0,9,10,1024,2,"Left",3,4,4,3,,180,70,"Male",,,"Yes","No",136000000,115500000,99500000,160000,135000,115000,"Pinged Pass, Whipped Pass, Jockey, Anticipate, Rapid","","95","76","78","85","81","80","LB","LM",false,false,false,"nuno-alexandre-tavares-mendes",18,84,84,81,81,83,80,81,82,83,80
81,80,83,83,85,94,80,91,85,90,80,89,88,91,68,90,86,68,75,87,89,77,86,87,80,82,78,75,74,14,11,10,8,5,"80","80","83","87","84","85","10","2023-07-01","2029-06-01",0,14,"England","Jude","Bellingham","Bellingham","Jude Bellingham",18189,4104,4104,252371,2450,89,93,"2003-06-29T00:00:00.000Z",22,243,"Real Madrid",53,10,7,"real-madrid",5,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p252371.png",21,9,7,1039,2,"Right",4,4,5,1,,186,75,"Male",,,"Yes","No",177500000,150500000,129500000,350000,300000,260000,"Low Driven Shot, Gamechanger, Inventive, Slide Tackle, Technical, First Touch","Career Injury Prone","81","83","79","88","79","86","CAM","CM | LM",false,false,false,"jude-bellingham",18,83,82,81,85,86,88,88,87,85,85
75,69,92,89,66,89,59,90,77,88,85,81,91,90,78,91,81,69,52,91,91,74,78,89,79,69,62,83,88,12,13,8,5,5,"73","74","85","77","83","85","9","2022-06-30","2029-06-01",0,38,"Portugal","Vítor","Machado Ferreira","Vitinha","Vitinha",38340,22834,38125,255253,2359,90,92,"2000-02-13T00:00:00.000Z",25,73,"Paris Saint-Germain",16,10,10,"paris-saint-germain",17,16,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p255253.png",0,4,4,1519,1,"Right",4,3,5,1,,172,64,"Male",,,"Yes","No",175500000,149000000,128000000,220000,185000,155000,"Finesse Shot, Incisive Pass, Long Ball Pass, Tiki Taka, Intercept, Relentless","","72","80","84","90","72","73","CM","CDM | CAM",false,false,false,"vitor-machado-ferreira",17,81,79,74,83,85,88,87,84,85,78
85,75,94,93,80,73,61,89,59,83,65,88,84,85,70,94,86,59,75,79,87,64,80,82,66,61,75,75,61,6,9,8,11,8,"79","64","79","76","88","74","9","2020-06-03","2030-06-01",0,21,"Germany","Jamal","Musiala","Musiala","Jamal Musiala",17044,26127,26127,256790,2270,88,92,"2003-02-26T00:00:00.000Z",22,21,"Bayern München",19,10,3,"bayern-munchen",10,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p256790.png",3,9,5,1039,1,"Right",5,4,4,1,,186,75,"Male",,,"Yes","No",157500000,133500000,114500000,130000,110000,96000,"Precision Header, Low Driven Shot, Gamechanger, Incisive Pass, Inventive, Trickster","","80","79","76","90","66","68","CAM","LM | CM | ST",false,false,false,"jamal-musiala",17,74,72,68,73,84,82,86,86,85,83
